¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
§_,3026,103.5,108.5,102.5,107.0,4.5,18.74,10102,14.82,4.95,16794,-6.44,60.12,0.84,0,5.0,32.0,29.26,1.78,15.7,39.83,5.3,28.48,28.89,8.23,12.3
§_,6192,66.0,66.7,65.5,66.6,0.7,0.0,48,26.7,4.95,7115,25.78,40.35,1.22,0,1.14,14.18,38.95,1.65,10.68,30.75,3.3,17.33,17.97,3.0,5.07
§_,1513,20.4,20.55,20.25,20.3,-0.1,8.57,477,15.82,4.93,8526,-4.29,17.62,0.35,1074,1.45,8.62,58.22,1.15,42.0,10.91,1.0,3.89,5.13,0.88,2.01
§_,1583,50.7,50.7,50.7,50.7,-0.3,9.05,3,15.82,4.93,5597,-16.34,39.13,0.39,1524,1.55,19.48,60.99,1.3,11.04,24.34,2.5,10.23,10.36,1.06,2.54
§_,2892,20.3,20.35,20.1,20.3,-0.1,17.09,6345,11.53,4.93,250473,9.49,16.19,0.76,1572,0.64,1.16,93.11,1.25,1233.86,0.0,0.9,0.0,40.13,0.18,2.5
§_,5531,9.9,10.35,9.9,10.15,0.15,153.33,479,30.3,4.93,9873,-0.39,11.96,1.11,19645,2.18,2.95,68.59,0.85,97.27,27.58,0.0,12.79,5.71,0.53,1.0
§_,2707,140.0,140.5,139.5,140.5,1.0,15.56,236,53.92,4.92,17808,-4.33,29.05,0.72,0,0.53,12.42,45.68,4.84,12.67,33.78,6.912000000000001,18.44,19.28,3.24,6.3
§_,2882,50.7,50.9,50.3,50.8,0.4,16.45,10306,11.53,4.92,638211,-0.57,41.89,0.75,898,1.25,3.59,93.49,1.21,1256.32,0.0,2.5,0.0,31.15,0.14,2.11
§_,8926,26.8,26.85,26.4,26.5,-0.25,0.0,1653,18.01,4.91,15610,4.13,20.22,1.64,8533,1.32,2.55,27.79,1.31,58.9,11.53,1.3,7.92,27.05,2.42,3.34
§_,1532,31.2,31.5,30.65,30.7,0.0,8.87,990,15.82,4.89,11827,14.0,31.71,0.38,0,1.2,15.33,57.42,0.97,38.53,31.12,1.5,19.28,18.64,2.55,5.79
§_,5515,10.5,10.5,10.15,10.25,-0.05,112.08,143,30.3,4.88,3463,-6.82,14.69,1.1,0,1.3,4.95,48.5,0.7,33.79,9.71,0.5,4.27,4.15,0.49,0.86
§_,6191,12.3,12.35,12.1,12.3,0.05,0.0,1567,14.82,4.88,6341,-5.09,26.73,1.22,0,2.47,12.02,54.43,0.46,51.55,13.1,0.6,3.56,3.91,0.73,1.2
§_,2642,21.6,21.7,21.55,21.55,-0.15,15.46,16,22.46,4.87,2057,-22.37,16.64,0.72,0,1.19,8.77,31.17,1.3,9.55,14.19,1.05,1.21,1.3,0.5,0.74
